date,death penalty,drug policy,incarcer,gun control,shooting,abortion,pro life,arts,civil rights,racism,budget,economy,stock,taxes,recession,debt,budget,education,college,student debt,air quality,global warming,carbon dioxide,climate change,greenhouse,campaign finance reform,privatization,health insurance,medicaid,medicare,social security,welfare,defense spending,war,albania,algeria,america,andorra,angola,antigua,argentina,armenia,australia,austria,azerbaijan,bahamas,bahrain,bangladesh,barbados,belarus,belgium,belize,benin,bhutan,bissau,bolivia,bosnia,botswana,brazil,british,brunei,bulgaria,burkina,burma,burundi,cambodia,cameroon,canada,cape verde,central african republic,chad,chile,china,colombia,comoros,congo,costa rica,country debt,croatia,cuba,cyprus,czech,denmark,djibouti,dominica,east timor,ecuador,egypt,el salvador,emirate,england,eritrea,estonia,ethiopia,fiji,finland,france,gabon,gambia,georgia,germany,ghana,great britain,greece,grenada,grenadines,guatemala,guinea,guyana,haiti,herzegovina,honduras,hungary,iceland,in usa,india,indonesia,iran,iraq,ireland,israel,italy,ivory coast,jamaica,japan,jordan,kazakhstan,kenya,kiribati,korea,kosovo,kuwait,kyrgyzstan,laos,latvia,lebanon,lesotho,liberia,libya,liechtenstein,lithuania,luxembourg,macedonia,madagascar,malawi,malaysia,maldives,mali,malta,marshall,mauritania,mauritius,mexico,micronesia,moldova,monaco,mongolia,montenegro,morocco,mozambique,myanmar,namibia,nauru,nepal,netherlands,new zealand,nicaragua,niger,nigeria,norway,oman,pakistan,palau,panama,papua,paraguay,peru,philippines,poland,portugal,qatar,romania,russia,rwanda,samoa,san marino,sao tome,saudi arabia,scotland,scottish,senegal,serbia,seychelles,sierra leone,singapore,slovakia,slovenia,solomon,somalia,south africa,south sudan,spain,sri lanka,st. kitts,st. lucia,st kitts,st lucia,saint kitts,santa lucia,sudan,suriname,swaziland,sweden,switzerland,syria,taiwan,tajikistan,tanzania,thailand,tobago,togo,tonga,trinidad,tunisia,turkey,turkmenistan,tuvalu,uganda,ukraine,united kingdom,united states,uruguay,usa,uzbekistan,vanuatu,vatican,venezuela,vietnam,wales,welsh,yemen,zambia,zimbabwe
2004-11-01,97,91,0,35,21,100,74,85,68,53,72,93,27,36,8,61,72,86,88,25,8,38,70,24,43,58,88,82,58,53,71,91,12,83,18,12,56,94,25,83,35,40,69,87,22,29,30,5,70,52,33,72,32,31,25,78,10,93,23,84,33,66,34,22,20,79,10,91,23,21,63,58,58,47,21,78,34,22,6,88,59,77,53,84,43,45,50,54,64,100,61,71,71,62,68,85,53,36,27,83,50,13,77,54,24,69,36,82,51,3,4,20,62,22,67,34,20,14,33,80,46,32,47,65,26,44,43,50,39,24,14,52,22,79,71,26,76,45,7,62,71,89,90,16,56,19,44,18,66,90,29,72,69,33,50,32,74,29,31,44,14,69,71,10,32,32,68,49,17,39,37,22,37,32,21,19,93,41,70,23,13,88,29,36,20,34,66,30,79,87,10,13,60,51,70,26,20,74,40,28,3,66,17,85,53,52,61,35,34,48,66,46,76,79,6,71,52,70,59,24,11,37,39,18,82,36,46,46,29,81,93,19,85,40,61,9,53,62,59,82,25,44,27
2004-12-01,83,62,0,22,21,63,62,82,58,43,67,71,28,37,7,51,67,68,77,23,7,30,60,20,39,50,72,74,56,51,70,80,64,72,18,11,49,86,21,63,30,36,59,88,23,31,35,6,60,58,30,77,35,34,28,63,10,71,22,71,32,59,29,26,14,80,11,85,21,7,66,45,56,32,15,75,29,23,6,84,52,77,46,74,36,31,40,51,60,64,52,63,66,65,69,83,52,36,26,76,47,13,66,47,21,80,31,75,48,2,4,17,56,19,56,40,32,14,25,68,40,29,14,59,25,45,35,45,36,23,12,59,21,70,61,24,52,36,7,58,60,84,66,16,49,25,100,20,62,95,26,80,61,32,44,30,61,24,32,37,18,63,74,10,29,28,51,36,15,39,40,24,51,29,19,17,79,39,70,21,14,83,27,48,16,31,66,29,68,71,10,11,96,48,74,26,24,75,45,23,3,60,51,57,62,44,61,28,56,39,81,36,75,77,7,69,62,64,100,22,11,38,34,18,40,37,55,44,29,71,79,17,72,44,71,9,36,57,48,66,23,33,24
2005-01-01,60,60,0,18,16,62,45,90,67,52,74,73,27,69,5,57,74,85,93,22,7,36,66,24,38,27,70,85,67,57,84,80,93,71,18,12,53,91,22,80,29,31,67,90,26,40,29,5,85,59,31,96,34,37,37,64,10,78,23,89,32,87,31,27,18,86,11,92,59,16,67,42,54,37,29,76,35,32,8,93,65,78,47,100,39,32,46,55,58,85,63,58,71,62,85,84,58,34,27,86,49,13,73,59,27,64,37,84,84,2,4,17,65,19,62,37,30,15,25,85,41,36,10,73,25,48,41,49,44,23,12,51,17,68,68,28,57,40,7,60,59,96,59,18,63,23,58,22,73,84,28,81,67,33,41,29,69,26,34,37,18,68,47,11,30,30,59,44,15,43,41,21,52,31,19,16,74,45,75,27,16,82,26,85,20,36,67,28,89,86,11,12,81,43,68,31,32,72,47,28,6,73,44,60,90,74,93,39,35,45,94,47,84,82,7,67,64,76,85,27,11,33,38,25,25,43,56,42,18,78,80,17,78,43,25,9,49,53,62,82,27,34,27
2005-02-01,69,66,0,19,17,67,53,92,86,100,96,78,29,87,7,57,96,88,84,22,8,39,81,28,45,36,87,85,67,60,100,88,99,77,18,12,54,87,22,92,30,36,65,90,26,39,33,5,78,57,32,89,37,30,28,65,9,96,24,85,35,77,32,21,19,79,11,90,62,20,64,39,55,45,24,95,36,13,9,88,73,78,52,69,40,33,43,54,78,92,65,71,70,68,85,88,59,35,25,90,53,13,73,61,23,75,46,77,77,2,4,22,71,19,61,37,23,17,23,88,43,38,11,73,26,59,46,53,11,25,15,54,27,72,70,37,81,42,7,65,64,92,66,20,60,21,34,22,78,89,29,71,71,32,46,29,68,29,40,47,12,75,50,16,29,31,64,50,17,42,44,24,100,36,22,18,70,47,77,26,16,83,27,96,30,46,67,31,88,88,10,14,68,56,67,32,30,68,41,28,3,77,19,71,84,76,79,45,38,100,91,54,83,80,11,62,68,75,57,26,27,42,45,23,25,49,46,50,18,77,83,16,75,43,22,14,51,52,68,100,27,43,30
2005-03-01,99,74,0,24,21,69,40,87,78,71,91,81,27,76,6,56,91,86,84,40,7,32,75,24,46,35,100,83,66,54,85,81,24,78,20,12,53,69,25,90,31,38,68,84,31,37,39,5,68,57,30,82,37,30,29,81,10,87,24,81,30,77,29,23,20,82,11,88,38,21,61,47,59,45,22,84,33,21,8,84,71,76,48,87,35,33,45,50,70,81,57,67,66,68,88,75,60,35,25,92,50,14,76,60,22,57,40,81,67,2,5,19,61,19,59,37,24,13,18,87,42,36,11,70,27,50,41,50,35,23,16,54,76,67,67,41,71,35,7,58,65,89,57,20,64,23,31,23,79,85,28,71,66,33,54,39,89,32,37,45,12,69,44,11,30,29,63,43,16,39,39,30,73,38,20,21,80,45,74,28,17,83,28,89,22,41,64,29,84,81,11,14,60,49,72,26,27,73,42,25,4,75,18,87,60,65,78,31,36,52,80,46,72,79,11,74,66,74,51,25,15,39,37,25,27,47,41,48,16,75,79,17,74,36,22,14,48,56,68,95,26,37,29
2005-04-01,89,74,0,26,17,74,44,86,83,54,79,84,25,89,7,58,79,87,84,29,6,30,75,23,49,30,87,79,66,60,76,83,46,84,23,13,53,48,33,89,34,45,63,79,27,36,42,5,67,54,32,83,30,31,29,75,10,93,24,80,34,80,31,18,19,89,14,85,39,28,67,51,61,48,51,78,31,15,9,87,73,79,51,80,35,33,57,51,77,67,55,66,66,70,81,77,58,32,30,94,50,13,66,61,21,80,47,86,68,2,5,21,64,19,61,36,22,14,18,82,39,38,10,70,27,47,41,50,39,24,14,55,27,69,77,31,53,42,6,54,72,88,63,23,61,21,30,19,80,88,32,65,70,29,49,72,91,31,37,47,11,75,51,11,32,28,69,48,18,42,37,26,83,37,23,21,90,39,77,29,17,84,27,100,21,64,52,30,82,72,10,12,55,51,68,27,26,71,40,26,4,76,16,69,57,49,66,28,31,48,73,45,69,76,7,68,73,67,49,22,22,37,38,23,28,47,37,49,17,74,80,16,76,46,23,100,51,58,63,80,28,50,32
2005-05-01,75,50,0,19,18,65,43,85,92,52,84,85,24,39,7,54,84,79,78,33,6,32,51,22,49,17,77,77,59,52,71,79,40,92,20,12,57,49,27,88,34,40,69,79,23,33,30,6,63,60,31,71,33,31,34,76,11,88,25,81,34,87,28,16,17,100,13,85,35,25,64,53,59,47,28,84,32,21,11,88,81,80,52,73,39,41,49,52,88,73,57,70,73,99,88,77,63,35,21,89,52,13,63,70,21,62,47,84,64,2,7,22,65,19,59,35,23,13,19,82,42,39,11,70,26,47,44,51,46,27,17,58,20,69,88,33,70,42,7,63,75,91,65,48,64,22,36,18,87,83,27,67,69,33,58,50,99,36,38,51,14,66,57,10,33,29,71,48,17,43,35,25,94,37,23,21,88,39,74,28,16,85,29,89,21,41,58,31,81,79,9,13,54,47,69,27,29,79,44,25,3,77,15,66,65,48,67,24,36,46,93,50,75,78,7,69,72,73,53,22,19,44,45,26,28,48,47,59,18,72,74,17,73,94,26,15,54,68,65,76,28,43,29
2005-06-01,34,42,0,7,17,41,34,84,42,33,82,57,24,37,7,52,82,75,75,37,7,22,46,21,36,35,54,77,62,53,73,75,57,70,19,10,55,45,23,73,38,37,64,77,24,29,35,5,59,55,29,60,36,30,37,90,12,79,26,82,32,86,25,17,16,79,11,84,34,9,62,53,54,42,23,66,30,26,13,80,77,78,46,63,30,33,48,42,74,69,54,54,72,90,87,79,65,35,20,83,48,13,54,65,18,52,43,73,60,2,4,19,59,18,57,36,22,14,17,79,38,36,8,61,24,43,39,46,72,22,13,54,22,69,75,32,50,34,5,54,63,99,57,94,62,22,37,19,86,80,24,71,64,26,51,39,75,36,32,41,12,64,61,11,30,28,64,43,19,42,40,23,41,36,19,19,88,40,67,28,15,82,23,60,22,37,56,27,82,69,9,15,60,58,71,27,31,61,32,23,4,69,15,60,55,45,62,40,37,35,88,65,71,74,7,64,53,66,51,25,14,39,36,29,27,30,43,47,16,69,65,16,73,54,22,9,51,48,61,79,27,42,28
2005-07-01,26,39,0,6,18,42,33,78,27,21,79,51,25,34,5,48,79,68,73,10,6,16,35,18,30,15,48,77,66,61,69,64,33,64,22,9,53,56,23,65,31,33,63,83,26,30,30,5,67,52,29,67,32,30,33,67,9,83,23,93,33,92,21,16,17,65,12,85,39,7,58,45,55,38,27,59,30,13,13,81,77,74,47,62,39,29,42,44,72,79,54,64,67,70,83,69,100,29,20,87,46,12,59,57,24,57,42,70,52,2,4,21,60,18,58,37,21,13,15,78,37,34,8,68,25,41,38,48,28,22,12,57,22,56,72,31,50,35,6,57,58,93,52,100,56,23,40,18,90,77,25,75,60,26,48,60,72,39,30,39,13,70,46,10,27,27,58,80,17,40,34,24,42,37,16,19,90,46,66,28,17,85,21,46,21,37,65,24,90,70,9,14,61,64,74,24,31,63,29,23,4,69,16,84,57,49,70,22,31,33,64,39,64,75,7,68,61,62,54,26,11,37,41,28,27,33,31,45,16,67,63,15,74,38,20,8,43,42,64,73,25,43,27
2005-08-01,23,52,0,5,16,38,34,79,30,22,77,59,26,38,5,52,77,72,88,15,8,16,37,18,32,14,38,92,74,64,71,68,40,55,15,9,56,62,22,81,35,39,71,80,25,28,35,5,59,55,30,55,31,29,35,76,8,78,23,76,38,88,22,18,15,62,11,85,43,13,61,54,56,46,27,59,30,18,11,72,83,75,49,65,32,34,43,39,72,97,53,52,64,65,81,81,57,29,20,95,46,12,48,57,18,70,44,75,48,2,4,19,62,18,57,38,22,13,19,78,43,33,8,56,24,40,41,42,27,22,12,53,21,56,62,28,50,35,6,61,50,83,55,59,56,25,42,18,86,81,100,78,63,25,40,45,77,33,32,44,13,69,39,10,27,31,60,93,18,39,35,23,33,35,23,23,90,45,67,28,16,78,23,43,25,41,60,31,88,77,10,14,67,62,76,27,34,60,25,25,3,64,18,58,51,61,61,49,32,36,69,100,70,81,7,67,55,72,55,25,11,52,37,26,26,40,32,42,16,64,63,17,77,44,25,9,44,41,69,75,25,42,26
2005-09-01,42,36,0,11,16,49,34,85,43,40,70,77,26,34,9,52,70,78,90,21,6,33,61,22,36,21,42,80,62,60,64,77,50,63,17,10,54,59,24,79,33,34,65,76,22,24,33,5,62,49,31,59,33,27,22,70,9,85,21,76,34,73,26,17,18,62,12,80,42,13,58,55,55,44,25,63,28,16,8,74,72,69,45,66,34,35,42,46,82,69,57,57,64,64,70,73,58,30,24,88,46,13,60,54,20,68,52,72,54,2,3,20,54,16,57,35,21,12,17,76,37,32,11,59,24,44,36,44,30,22,11,51,19,56,61,26,60,39,5,66,55,91,55,49,56,23,38,18,72,84,23,69,70,18,42,47,72,32,31,36,12,71,47,10,28,28,69,55,17,37,36,22,44,34,19,21,90,42,71,25,18,76,24,43,20,39,53,27,77,78,10,15,59,63,72,29,25,63,27,23,4,65,14,60,46,44,60,8,29,32,70,57,67,72,7,61,55,65,56,24,13,45,37,21,25,25,43,44,16,64,75,16,75,40,25,9,45,42,62,79,26,37,25
2005-10-01,57,59,0,19,17,66,37,82,52,44,64,77,26,36,7,53,64,76,81,16,7,35,66,22,38,31,56,75,67,78,66,82,54,68,18,10,54,63,28,84,34,37,64,75,26,27,38,5,63,51,29,68,35,34,31,73,8,83,22,72,30,63,29,17,17,70,13,80,40,15,60,52,56,45,20,71,29,26,6,86,64,72,46,67,36,44,45,49,90,76,54,70,58,71,76,76,53,31,23,89,45,13,56,50,19,57,54,78,61,2,4,21,58,17,56,35,20,13,18,72,36,30,10,64,24,42,44,45,23,22,13,52,21,59,70,26,63,70,6,56,61,91,60,37,62,21,37,20,69,81,25,68,70,28,46,33,68,29,34,49,13,72,41,10,28,27,73,61,18,36,39,37,47,33,24,21,87,40,72,23,17,79,25,49,21,43,53,28,73,74,9,14,66,53,69,27,24,66,31,24,5,63,17,69,69,55,60,33,34,34,71,41,66,70,8,64,69,69,52,26,13,32,41,20,31,40,31,49,14,61,70,19,69,41,22,9,49,44,58,71,25,42,26
2005-11-01,80,63,0,22,18,69,40,80,62,49,64,76,28,35,7,50,64,72,80,21,5,40,73,30,37,39,56,74,66,100,62,79,61,71,18,11,52,76,25,75,34,35,63,77,28,27,41,5,61,55,28,67,36,29,29,64,9,75,22,71,27,65,30,18,16,73,10,80,39,19,57,53,57,42,17,70,30,26,6,76,47,69,45,76,36,39,42,50,67,84,53,78,63,85,70,74,57,38,21,81,46,14,60,45,18,63,41,77,57,2,5,20,56,16,52,34,18,13,20,72,36,29,9,66,23,44,47,47,23,21,14,52,17,56,57,28,52,60,6,61,58,87,56,46,65,19,35,20,59,89,29,67,65,27,47,36,93,26,31,42,13,68,39,10,28,27,64,65,17,35,40,27,42,32,21,20,86,38,72,22,17,75,26,57,22,38,46,26,72,74,10,12,63,60,66,25,19,61,50,23,6,56,18,62,52,57,65,44,38,34,76,42,64,72,8,56,66,68,52,29,13,43,45,19,84,39,33,51,14,64,68,22,66,36,19,10,51,45,55,73,28,42,25
2005-12-01,89,28,0,14,20,53,36,69,51,39,62,61,27,34,5,46,62,57,71,21,5,30,49,21,31,14,39,71,60,87,59,65,66,63,16,9,47,74,22,58,28,29,54,73,24,27,34,5,55,44,25,63,29,30,30,66,8,61,21,60,28,58,25,19,17,70,9,79,33,14,58,45,48,30,20,68,27,17,5,71,45,66,39,84,30,21,38,44,56,59,45,76,60,71,58,72,52,36,22,78,43,13,52,39,18,77,38,70,50,2,4,16,49,18,49,34,20,14,19,58,37,26,9,58,22,42,41,43,30,20,13,51,16,57,51,28,53,44,5,45,57,81,56,46,52,20,33,21,52,93,25,66,54,28,46,31,67,27,32,40,13,57,67,10,23,22,46,50,17,37,38,24,35,29,19,17,73,35,64,19,16,69,25,46,18,35,49,27,60,66,9,12,57,54,66,25,20,64,31,18,3,49,17,49,58,47,57,18,62,30,73,37,63,65,7,55,50,65,51,22,15,31,34,16,36,36,29,41,14,58,63,16,64,35,25,9,36,42,43,67,29,35,21
