date,death penalty,drug policy,incarcer,gun control,shooting,abortion,pro life,arts,civil rights,racism,economy,stock,taxes,recession,debt,budget,education,college,student debt,air quality,global warming,carbon dioxide,climate change,greenhouse,campaign finance reform,privatization,health insurance,medicaid,medicare,social security,welfare,defense spending,war,afghanistan,albania,algeria,america,andorra,angola,antigua,argentina,armenia,australia,austria,azerbaijan,bahamas,bahrain,bangladesh,barbados,belarus,belgium,belize,benin,bhutan,bissau,bolivia,bosnia,botswana,brazil,british,brunei,bulgaria,burkina,burma,burundi,cambodia,cameroon,canada,cape verde,central african republic,chad,chile,china,colombia,comoros,congo,costa rica,country debt,croatia,cuba
2004-11-01,100,100,0,33,21,100,67,83,65,56,95,27,36,9,58,70,86,93,34,7,39,77,27,43,66,56,79,60,51,73,85,50,82,27,17,11,55,98,25,78,34,44,70,82,22,28,30,5,71,51,32,73,34,27,24,78,11,74,22,82,31,65,37,22,22,77,11,90,26,29,64,57,57,47,21,78,34,21,6,88
2004-12-01,82,63,0,23,21,64,51,78,57,43,77,28,37,8,48,67,69,80,17,6,30,60,20,39,53,51,71,56,49,72,78,79,72,21,17,11,48,90,20,62,30,36,61,85,20,30,34,6,69,55,30,66,32,35,33,64,9,66,22,71,34,60,25,23,17,81,13,84,25,8,66,44,56,32,15,75,29,23,6,81
2005-01-01,58,52,0,16,16,59,39,86,68,52,77,27,68,6,54,73,84,93,27,7,36,59,24,38,25,53,82,63,58,85,80,49,70,22,17,11,52,94,23,77,28,30,68,87,21,40,29,5,91,60,31,91,34,35,33,62,9,76,22,86,32,88,31,27,17,84,11,89,55,15,65,41,54,37,29,76,35,32,8,92
2005-02-01,66,82,0,20,17,68,49,84,83,100,81,29,86,7,56,95,88,85,35,8,38,69,26,45,38,77,82,76,59,100,84,74,77,23,18,11,53,91,22,88,30,38,65,87,22,38,34,5,82,59,33,79,36,31,24,67,10,87,25,82,30,76,33,20,22,74,14,87,69,20,63,39,55,45,24,95,36,12,8,89
2005-03-01,96,67,0,23,21,70,44,84,78,72,84,28,77,7,53,91,84,87,30,7,32,76,24,48,22,70,83,67,55,88,82,36,78,23,19,12,52,68,27,92,32,39,68,84,32,36,37,5,72,58,31,74,37,30,26,79,9,78,24,79,27,75,27,20,14,78,11,87,34,23,62,47,59,45,22,85,33,21,8,85
2005-04-01,83,80,0,29,17,74,49,81,85,59,87,25,90,8,57,79,86,87,32,7,31,78,22,50,46,79,77,60,58,76,84,69,85,24,20,12,53,52,34,91,33,42,63,77,24,35,40,5,67,55,33,75,32,33,24,75,10,78,23,78,33,80,30,17,19,82,11,85,32,28,67,52,61,48,51,79,31,14,9,86
2005-05-01,72,52,0,19,18,66,44,83,89,52,86,24,39,7,51,85,82,82,23,6,32,55,22,50,28,75,77,60,52,73,80,39,92,26,20,12,56,50,28,87,34,41,69,78,24,33,29,6,67,65,31,68,30,33,36,76,11,85,25,79,34,86,31,20,20,91,14,84,39,29,64,54,59,47,28,85,32,20,11,87
2005-06-01,35,50,0,7,17,41,39,81,41,34,63,25,36,6,51,84,76,80,30,7,23,46,19,41,38,45,80,67,53,75,74,43,72,20,18,9,54,52,23,76,39,37,64,76,24,29,34,5,64,55,30,59,35,31,38,92,11,75,26,80,32,92,23,16,17,78,11,85,40,12,60,54,54,42,23,67,30,26,13,79
2005-07-01,25,33,0,6,17,43,38,73,25,22,56,25,35,4,45,80,68,76,16,7,16,36,16,31,19,35,81,65,61,67,62,40,65,21,22,8,52,54,23,68,31,34,65,80,22,30,30,5,71,50,29,57,29,31,32,68,8,78,22,91,33,89,21,16,19,66,12,83,33,9,56,47,55,38,26,59,30,13,13,80
2005-08-01,23,58,0,6,16,38,29,77,28,21,59,25,39,6,50,77,72,91,22,7,16,36,17,32,18,36,90,70,65,73,68,39,54,20,15,8,54,61,21,78,34,36,71,78,20,27,33,5,64,51,31,57,29,30,35,76,9,73,21,73,37,89,22,20,14,63,11,82,36,13,64,55,56,46,27,60,30,18,11,71
2005-09-01,40,42,0,12,16,50,31,81,45,39,84,26,35,8,50,71,79,91,16,6,33,58,21,37,22,40,76,64,60,67,78,54,63,19,17,10,54,60,24,74,33,35,65,74,23,24,32,5,63,53,30,55,31,23,24,70,9,73,21,73,32,73,25,16,18,61,12,79,34,14,57,57,55,44,25,64,28,16,8,74
2005-10-01,54,70,0,21,17,66,43,80,53,46,84,27,35,7,52,66,75,84,17,7,35,64,23,39,34,47,75,66,77,67,82,51,68,22,19,10,55,67,28,83,34,38,65,73,27,27,38,5,67,56,28,65,36,32,34,73,10,71,22,71,29,61,30,17,17,70,13,79,39,22,61,52,55,45,19,71,29,25,6,86
2005-11-01,76,74,0,23,18,69,40,77,59,52,74,28,35,7,48,64,71,82,26,6,39,73,29,37,41,53,74,59,100,62,79,53,72,22,18,11,49,79,28,76,34,34,62,74,28,28,40,5,67,51,28,61,35,27,25,63,10,70,22,68,27,61,31,17,16,71,10,80,46,16,57,54,57,42,17,70,30,25,6,76
2005-12-01,87,46,0,14,19,52,39,69,50,39,65,28,36,6,43,64,58,74,21,5,29,55,21,32,15,32,71,61,89,61,64,59,64,20,18,9,46,78,23,58,28,31,55,73,22,27,35,5,57,42,26,59,29,27,29,68,8,56,21,61,29,59,26,19,15,72,9,79,35,16,58,47,48,30,20,69,27,17,5,70
2006-01-01,52,40,0,12,17,59,50,76,60,35,63,32,66,6,53,71,71,88,34,5,32,60,22,34,31,36,82,67,90,73,73,52,65,22,19,9,50,86,25,75,27,34,61,80,22,38,37,4,80,47,27,70,33,25,26,63,8,67,21,72,31,77,30,18,15,73,11,87,48,17,64,44,51,34,20,71,31,18,8,83
2006-02-01,64,57,0,15,21,63,50,76,71,43,68,31,82,6,55,78,72,78,21,6,35,66,27,39,28,40,76,65,71,67,76,53,70,22,20,10,48,73,26,78,28,36,58,76,23,35,36,5,71,56,27,71,37,26,24,59,9,72,22,69,29,75,27,17,15,68,13,81,62,22,64,37,52,40,22,73,32,23,8,79
2006-03-01,63,61,0,17,18,68,51,75,60,47,72,29,70,6,59,84,72,81,34,6,39,69,29,41,24,41,75,65,66,64,81,46,71,25,18,12,49,60,27,88,31,35,61,71,23,35,61,5,65,90,27,65,43,31,31,66,10,71,21,71,32,71,27,17,17,69,13,76,43,20,57,47,54,43,20,79,30,36,8,80
2006-04-01,60,68,0,18,19,58,42,70,62,42,72,27,89,6,57,70,69,77,31,6,43,58,24,42,21,40,74,58,68,63,74,44,70,23,17,10,49,46,28,77,31,38,58,62,23,28,37,5,63,56,25,60,33,29,28,65,11,70,22,65,28,71,27,18,16,66,11,75,42,21,64,49,54,40,22,69,27,10,9,71
2006-05-01,54,51,0,12,18,54,45,70,62,42,74,26,37,7,51,76,68,77,28,6,45,59,26,48,14,27,70,60,76,61,70,29,72,23,21,10,49,39,45,79,34,42,60,63,22,28,33,5,60,62,27,54,29,27,26,78,12,68,24,66,31,83,29,18,17,69,11,73,41,17,56,49,54,46,35,80,29,21,12,72
2006-06-01,27,39,0,6,16,38,43,71,32,29,55,23,34,6,55,76,66,75,37,6,41,45,22,34,8,27,75,59,56,63,62,21,52,20,19,9,49,44,100,68,50,35,62,62,21,26,30,4,60,48,26,48,31,40,24,63,10,58,36,63,27,88,23,16,14,60,11,74,42,16,47,47,47,39,16,69,41,22,15,65
2006-07-01,19,36,0,5,17,33,31,67,21,23,45,22,35,5,56,76,59,70,28,6,33,39,17,29,12,18,78,63,56,64,58,28,51,17,16,10,47,52,26,60,32,33,58,66,19,26,31,4,60,45,24,51,26,25,20,54,7,63,24,74,32,97,23,14,12,60,10,75,39,8,50,43,45,36,15,64,27,13,12,60
2006-08-01,18,38,0,4,17,33,32,71,21,20,50,23,38,7,53,70,63,86,39,6,26,37,17,30,4,15,81,65,58,70,58,24,48,18,16,8,47,57,24,68,31,31,58,66,19,24,32,4,62,50,25,50,30,24,20,57,8,62,19,65,35,81,25,15,17,57,11,74,64,8,53,46,48,39,14,75,25,11,9,84
2006-09-01,32,39,0,9,19,41,39,72,31,26,58,22,38,7,54,61,67,85,18,6,38,55,24,32,7,28,75,56,54,61,64,33,53,25,17,9,47,61,24,72,30,32,59,62,19,21,29,4,62,42,24,48,30,25,20,56,7,55,19,61,30,73,27,16,17,54,9,71,63,13,51,45,48,37,18,61,25,19,7,65
2006-10-01,44,42,0,14,21,52,46,71,42,35,66,25,36,6,56,58,63,79,31,5,46,68,34,36,30,35,78,54,61,61,69,48,60,24,16,9,50,59,26,72,30,35,55,63,21,23,31,4,57,42,25,49,28,26,25,57,7,63,19,60,26,66,29,17,17,62,10,69,58,15,51,48,49,40,16,72,26,15,7,67
2006-11-01,56,49,0,14,18,59,51,67,45,40,62,25,34,7,55,58,60,77,24,5,56,63,39,35,15,35,70,56,62,56,69,35,77,23,16,9,47,70,24,66,29,31,55,64,23,25,32,5,60,42,23,53,30,24,20,52,7,66,18,59,27,62,28,17,16,63,9,73,60,17,51,43,48,36,23,81,26,17,5,66
2006-12-01,40,34,0,10,18,42,38,61,37,27,50,24,35,6,46,55,47,67,30,4,51,50,23,30,13,24,63,47,61,53,56,29,67,19,15,9,45,77,21,53,25,30,47,64,20,24,31,4,59,40,21,50,28,24,24,49,6,57,17,51,26,59,27,14,12,58,9,69,60,15,50,39,44,28,18,63,24,11,5,64
2007-01-01,35,31,0,10,16,41,44,66,41,38,52,26,65,5,56,64,61,80,23,5,78,61,38,34,6,25,80,62,58,65,62,30,62,20,15,10,47,71,22,68,25,32,58,72,20,34,30,5,76,43,23,67,28,24,30,48,6,72,18,61,29,82,27,17,18,67,9,73,98,23,45,37,46,32,19,65,29,15,6,73
2007-02-01,37,43,0,12,17,44,36,65,49,32,59,26,79,8,53,73,60,70,32,5,100,71,53,43,26,26,72,56,54,62,65,28,64,21,17,10,47,62,21,73,26,33,53,64,17,34,33,5,66,40,22,59,30,24,24,47,7,69,19,57,28,69,27,15,27,59,11,70,90,14,44,35,45,37,19,67,28,14,6,67
2007-03-01,40,50,0,11,16,46,45,64,46,34,60,26,69,9,53,82,60,72,36,5,98,66,48,45,16,29,72,58,52,57,63,50,67,21,17,9,46,61,26,74,28,36,53,58,19,31,31,6,68,41,23,54,32,22,24,50,8,73,17,57,27,70,29,15,17,63,10,72,60,19,42,42,48,38,18,67,27,13,7,64
2007-04-01,42,45,0,29,39,55,40,63,51,34,58,24,93,8,53,65,59,69,36,5,100,65,49,44,19,26,75,59,51,57,63,30,68,22,17,12,49,38,24,69,28,33,51,53,21,27,41,5,63,40,22,53,29,26,27,48,7,62,17,54,26,73,27,15,15,60,10,69,52,20,42,43,47,36,20,63,26,11,8,61
2007-05-01,37,35,0,18,18,45,46,63,55,33,63,23,36,6,49,69,57,68,26,6,85,64,44,50,20,30,73,52,51,54,60,30,67,21,20,9,49,36,28,71,29,34,53,57,19,27,30,6,58,50,24,46,29,38,26,54,7,61,19,55,28,79,25,15,16,68,12,67,47,21,41,43,48,42,20,68,26,11,9,63
2007-06-01,22,31,0,6,17,34,32,60,26,23,48,22,34,5,49,67,53,66,36,5,55,45,35,34,11,23,71,54,50,52,53,27,51,18,28,9,53,36,28,67,29,38,50,56,24,23,31,5,57,40,24,45,29,25,27,53,7,61,18,54,34,86,25,13,17,59,9,65,48,13,42,45,44,37,30,62,26,14,10,60
2007-07-01,19,29,0,6,17,30,35,60,19,17,42,25,33,5,50,71,52,67,30,5,47,39,33,29,15,24,77,57,56,59,53,18,47,19,19,8,58,42,25,61,35,31,52,63,19,24,33,5,64,40,23,45,29,26,26,53,6,62,19,63,30,91,22,12,16,58,11,69,58,12,42,44,45,41,13,66,27,12,11,58
2007-08-01,18,35,0,4,17,29,36,61,19,16,48,25,32,9,50,65,56,74,49,6,41,36,32,29,8,19,78,59,55,60,55,15,46,19,18,8,48,45,25,74,30,34,53,57,19,24,32,5,60,40,23,61,32,25,20,56,7,68,16,51,31,78,23,14,16,60,10,65,59,13,41,47,47,44,15,60,26,14,9,60
2007-09-01,31,39,0,9,16,36,40,63,28,24,58,23,32,15,50,57,58,79,26,5,53,53,36,33,12,25,72,54,50,53,61,22,56,20,18,9,47,45,25,76,30,33,51,58,21,21,32,5,55,44,23,46,31,25,26,54,6,58,17,53,28,64,25,62,19,57,10,62,69,14,45,45,49,42,18,64,25,21,7,58
2007-10-01,38,39,0,12,18,44,47,60,36,33,61,26,34,11,55,58,56,72,39,11,68,68,44,34,17,28,73,57,60,58,78,29,56,20,19,8,48,49,27,71,33,43,52,59,22,23,34,4,53,42,22,44,30,27,26,56,7,58,18,52,30,55,27,51,18,58,9,62,50,16,49,47,48,45,18,72,26,13,5,63
2007-11-01,45,39,0,14,19,46,50,58,36,35,64,27,31,18,50,54,52,70,38,5,71,67,50,34,22,29,65,54,58,50,66,37,61,21,19,10,44,57,26,65,30,33,48,64,18,24,34,7,55,41,22,42,30,25,29,55,7,67,17,51,29,58,25,21,16,62,9,64,55,13,48,46,46,42,17,69,26,21,8,60
2007-12-01,38,38,0,13,23,40,43,54,34,25,55,24,33,18,46,53,41,62,30,4,59,50,39,29,20,25,57,48,53,48,57,24,61,20,16,11,42,57,24,51,25,31,46,61,17,23,30,5,52,44,20,47,27,26,25,48,6,57,16,45,25,50,21,16,15,60,9,63,52,17,45,39,43,31,17,60,23,12,5,58
2008-01-01,30,34,0,11,17,46,53,59,41,24,63,29,62,78,56,61,53,73,30,4,55,54,38,32,25,18,72,57,56,61,62,39,55,23,17,10,47,58,28,65,25,28,55,65,19,29,31,5,74,40,20,55,37,25,31,44,6,66,16,53,30,65,26,17,17,64,11,64,73,11,43,38,43,35,18,61,28,19,6,67
2008-02-01,35,35,0,14,23,46,53,59,46,31,66,24,77,39,55,72,54,69,31,5,59,59,41,36,23,28,68,55,55,56,63,45,60,24,23,10,45,52,28,74,27,35,50,59,19,27,34,5,65,43,21,54,30,29,28,46,7,69,17,50,27,59,27,18,18,61,16,61,58,21,49,34,43,41,20,62,27,23,6,75
2008-03-01,34,42,0,15,19,42,43,56,40,32,71,25,65,42,51,73,51,67,33,5,56,54,41,39,17,23,64,55,50,55,60,37,64,22,25,10,45,55,27,72,29,40,48,58,19,27,36,5,62,50,22,51,28,37,27,47,9,64,16,50,29,63,26,16,16,61,10,61,49,15,43,42,46,45,41,63,27,15,7,63
2008-04-01,44,42,0,16,19,46,42,58,50,37,78,24,80,38,54,62,56,67,31,5,69,60,45,45,12,28,64,60,52,55,64,36,63,22,31,10,47,34,30,72,30,35,48,64,20,24,47,5,56,37,21,47,28,30,22,51,8,69,16,50,30,62,29,16,19,64,10,61,50,17,43,44,49,43,21,72,26,17,7,64
2008-05-01,33,38,0,11,18,41,37,55,47,28,77,22,38,25,48,68,52,63,24,5,62,51,38,44,10,20,61,51,49,50,60,19,62,21,35,10,48,35,29,67,30,46,47,70,25,24,36,5,54,45,21,44,25,26,23,54,8,60,17,47,30,68,26,100,16,65,11,59,42,14,40,46,59,44,14,65,25,19,8,59
2008-06-01,19,27,0,7,17,31,39,56,25,21,61,21,32,22,47,63,47,64,24,8,45,42,35,33,8,15,59,52,51,51,55,21,51,20,24,9,47,33,28,62,33,35,47,74,19,23,35,6,58,45,21,44,27,28,22,51,7,61,17,46,28,74,25,21,16,58,11,61,43,13,38,44,45,41,14,58,25,16,13,54
2008-07-01,16,37,0,6,18,30,36,52,17,14,55,23,31,29,51,64,44,61,28,9,32,34,31,28,6,16,67,56,60,53,55,19,48,21,21,9,46,35,27,68,30,33,47,58,19,23,35,5,53,43,21,40,31,32,25,47,7,59,15,54,30,78,24,14,13,62,9,61,56,10,38,40,43,46,15,50,24,22,10,51
2008-08-01,15,28,0,5,20,36,44,53,17,14,49,20,30,27,49,60,47,70,31,5,28,30,28,26,6,14,65,54,51,53,55,23,51,22,19,9,46,40,35,73,37,39,52,54,23,22,38,5,54,56,21,40,33,26,22,54,6,58,17,47,31,69,24,14,13,61,11,58,51,10,46,44,67,45,18,54,25,15,8,64
2008-09-01,24,29,0,12,18,50,55,56,27,22,80,30,34,51,62,57,53,75,27,4,42,54,36,30,12,22,65,57,51,51,63,41,55,25,20,9,50,47,33,69,31,41,47,56,20,21,36,5,50,41,21,45,28,27,21,64,7,58,15,46,27,58,23,14,13,56,9,57,50,7,46,44,47,45,13,58,25,31,9,67
2008-10-01,32,33,0,18,19,63,64,53,33,29,93,41,39,96,67,55,51,69,22,4,45,62,41,32,22,23,66,57,59,53,65,41,61,24,21,10,49,43,32,68,32,32,48,55,19,18,36,5,49,75,20,40,29,24,27,55,6,61,16,44,26,50,23,15,15,66,9,58,40,13,38,45,42,45,24,72,23,32,5,54
2008-11-01,37,33,0,20,20,55,66,52,40,32,80,30,31,79,59,53,48,70,39,5,50,59,41,31,24,26,59,52,56,45,66,31,81,23,19,9,46,48,28,59,29,31,48,54,18,20,41,6,52,40,18,42,26,39,38,45,6,58,16,43,29,46,25,15,17,62,9,57,41,14,38,41,42,41,15,100,24,29,4,57
2008-12-01,28,33,0,10,21,37,46,47,31,21,68,26,32,85,53,48,41,60,37,4,40,44,35,28,11,18,57,52,55,45,54,19,68,22,19,9,45,50,25,47,25,29,44,54,16,20,33,6,46,34,17,38,24,24,25,40,5,48,15,38,27,43,21,13,18,56,9,57,38,15,35,37,38,32,14,68,22,23,4,53
2009-01-01,22,28,0,9,21,43,57,52,36,21,70,25,60,78,59,60,49,70,32,4,40,48,32,31,8,15,64,59,53,55,59,28,66,23,19,10,47,48,29,59,25,31,53,59,17,29,35,5,63,38,19,48,26,27,33,42,5,60,15,45,29,56,23,14,15,58,9,58,57,13,37,36,40,37,16,63,30,24,7,65
2009-02-01,27,33,0,13,19,41,49,52,41,25,79,24,75,93,61,68,51,65,28,4,42,56,38,36,7,23,66,63,53,54,66,38,66,27,31,10,45,43,30,75,25,30,51,53,19,25,38,6,61,32,18,44,30,25,27,42,5,70,17,44,29,52,24,13,17,59,10,53,58,12,36,33,39,43,17,69,26,38,6,61
2009-03-01,37,37,0,12,22,43,51,52,40,28,77,29,64,94,60,64,52,66,31,4,47,57,42,42,10,22,67,62,53,52,67,31,71,28,35,10,47,39,36,73,29,34,48,56,19,25,38,6,60,38,19,45,30,26,100,50,6,73,15,45,28,55,27,14,18,60,11,55,44,15,35,42,41,46,18,73,28,29,6,60
2009-04-01,35,37,0,14,22,41,48,52,45,29,68,26,74,76,57,72,50,64,32,4,47,53,41,44,11,21,65,62,49,50,63,43,63,27,38,10,46,35,32,65,37,37,53,49,21,23,48,6,52,37,20,43,27,27,35,65,6,71,15,45,31,55,25,14,16,59,9,61,45,17,39,48,41,55,15,61,28,25,7,59
2009-05-01,30,34,0,11,20,40,47,50,44,28,65,23,31,58,50,63,50,65,30,4,42,49,40,44,8,18,61,53,48,47,60,28,62,28,36,9,44,32,31,66,37,42,55,50,42,23,37,6,48,38,20,38,26,29,31,51,7,69,15,44,29,60,24,16,18,60,9,59,39,13,37,47,41,57,16,63,27,23,7,55
2009-06-01,17,28,0,6,19,35,41,49,24,20,51,21,30,47,53,63,46,64,37,4,33,37,39,33,6,13,68,60,51,46,57,20,53,24,29,11,44,41,30,63,40,35,55,51,28,22,40,6,49,42,21,37,29,24,43,52,6,57,20,44,29,68,24,14,16,56,10,61,46,7,36,49,38,54,100,57,29,23,9,51
2009-07-01,13,24,0,6,19,27,41,48,17,17,48,21,30,45,55,80,44,61,37,4,26,32,34,26,4,11,74,64,57,50,60,23,50,30,23,9,46,39,29,57,38,36,58,52,21,23,39,7,50,35,20,35,28,26,34,46,5,60,15,51,33,73,23,14,15,54,10,63,39,9,36,47,40,60,60,55,31,20,9,50
2009-08-01,13,23,0,5,20,27,40,49,16,15,51,22,30,43,54,59,46,69,38,5,22,30,32,27,5,13,79,67,61,50,60,24,49,31,21,8,47,38,29,65,39,34,59,54,21,26,38,7,52,35,21,35,26,26,27,52,5,61,14,41,34,62,20,16,15,58,9,63,63,9,40,51,40,63,11,59,30,22,8,50
2009-09-01,23,32,0,8,19,29,47,53,24,25,59,22,30,45,52,53,51,75,28,5,31,51,41,30,13,16,74,66,58,46,64,24,53,39,19,9,49,38,30,74,46,37,57,53,21,20,39,5,46,41,21,36,29,29,31,54,6,63,16,42,31,56,28,15,15,59,10,61,52,12,39,53,41,64,16,59,31,23,7,58
2009-10-01,30,32,12,9,19,34,54,50,29,26,58,22,32,43,52,50,49,69,28,3,42,63,57,33,15,19,72,65,63,45,65,36,53,41,19,11,49,37,32,73,47,47,60,53,22,21,41,7,46,49,20,36,28,26,36,55,7,69,16,41,34,48,24,14,17,60,9,63,40,13,39,55,43,64,14,60,33,28,4,54
2009-11-01,43,36,0,11,26,38,54,49,30,26,60,21,30,42,54,48,47,67,24,4,53,62,68,31,19,21,68,59,62,40,64,28,58,39,19,27,46,50,31,70,44,37,62,55,22,22,46,7,49,39,20,39,27,31,34,51,10,68,16,41,33,47,26,15,17,63,10,65,42,11,36,53,44,65,17,62,34,34,4,52
2009-12-01,34,30,0,8,21,31,50,44,27,21,51,20,33,33,47,49,39,60,24,3,58,50,79,29,17,19,59,54,63,39,55,39,58,43,18,12,42,52,26,57,40,32,57,53,19,22,41,7,48,36,18,39,24,24,31,46,5,53,14,37,29,47,21,13,16,58,9,65,39,13,37,47,40,51,13,58,29,37,4,48
2010-01-01,25,25,0,8,20,31,56,49,32,20,52,21,62,32,54,51,48,74,25,4,44,47,47,29,29,13,65,63,56,48,60,27,54,36,23,18,47,51,73,65,41,35,66,59,20,32,41,9,64,37,19,47,35,27,28,45,5,66,14,43,33,54,31,13,16,59,12,65,60,11,36,47,43,59,19,58,35,35,5,61
2010-02-01,28,29,12,8,21,32,55,49,37,24,56,21,70,33,61,67,50,64,28,4,45,54,48,31,14,17,66,60,56,47,61,31,56,38,26,12,48,46,30,75,44,43,61,54,23,28,43,7,56,57,21,43,26,27,32,48,5,71,15,42,31,56,26,14,17,59,9,69,43,12,35,72,40,71,16,60,36,68,5,54
2010-03-01,30,34,0,10,19,40,50,49,37,26,59,22,62,31,57,65,51,66,29,4,40,55,45,36,14,21,79,69,65,48,65,33,67,33,28,11,47,41,30,74,48,42,60,53,24,27,58,7,54,40,20,39,27,28,34,52,6,72,15,43,31,57,25,15,19,58,10,66,40,16,35,95,45,74,19,65,36,43,5,55
2010-04-01,32,37,11,10,20,36,47,47,44,27,61,23,73,29,56,54,49,63,30,4,37,54,42,41,15,22,63,62,53,46,61,38,64,37,28,10,49,29,31,75,48,41,57,49,25,24,40,7,51,39,21,37,26,33,49,55,6,68,15,43,36,61,22,14,18,59,9,63,38,12,38,60,46,74,17,65,34,55,6,51
2010-05-01,28,32,0,7,22,33,45,48,46,25,59,22,32,26,55,58,47,60,26,4,34,48,38,40,11,19,57,57,48,41,61,36,62,37,27,13,45,26,33,71,56,50,62,49,34,23,39,8,49,47,21,35,25,30,35,50,6,64,17,43,34,60,23,14,21,60,13,60,44,12,39,64,43,80,17,67,36,67,7,48
2010-06-01,23,21,0,5,21,27,42,45,22,18,47,20,31,22,51,67,44,63,28,4,23,35,30,30,8,14,60,62,54,43,57,25,55,36,21,62,43,29,30,62,75,44,64,48,25,22,40,7,46,40,21,36,25,27,37,48,6,63,34,41,36,69,22,12,21,55,34,63,35,12,34,78,39,72,17,63,35,48,7,44
2010-07-01,17,25,10,5,22,30,38,44,16,18,43,20,29,21,49,55,42,57,27,4,18,27,25,25,6,12,60,63,53,46,57,28,50,34,21,9,45,30,28,57,59,38,58,50,20,25,38,7,51,36,19,39,27,28,28,46,5,63,22,45,38,70,22,11,18,59,11,58,38,8,39,57,42,74,14,59,34,30,8,44
