Date,date_time,year,month,month_year,term_year_bush,death penalty,drug policy,incarcer,gun control,shooting,abortion,pro life,arts,civil rights,racism,economy,stock,taxes,recession,debt,budget,education,college,student debt,air quality,global warming,carbon dioxide,climate change,greenhouse,campaign finance reform,privatization,health insurance,medicaid,medicare,social security,welfare,defense spending,war,afghanistan,albania,algeria,america,andorra,angola,antigua,argentina,armenia,australia,austria,azerbaijan,bahamas,bahrain,bangladesh,barbados,belarus,belgium,belize,benin,bhutan,bissau,bolivia,bosnia,botswana,brazil,british,brunei,bulgaria,burkina,burma,burundi,cambodia,cameroon,canada,cape verde,central african republic,chad,chile,china,colombia,comoros,congo,costa rica,country debt,croatia,cuba,cyprus,czech,denmark,djibouti,dominica,east timor,ecuador,egypt,el salvador,emirate,england,eritrea,estonia,ethiopia,fiji,finland,france,gabon,gambia,georgia,germany,ghana,great britain,greece,grenada,grenadines,guatemala,guinea,guyana,haiti,herzegovina,honduras,hungary,iceland,in usa,india,indonesia,iran,iraq,ireland,israel,italy,ivory coast,jamaica,japan,jordan,kazakhstan,kenya,kiribati,korea,kosovo,kuwait,kyrgyzstan,laos,latvia,lebanon,lesotho,liberia,libya,liechtenstein,lithuania,luxembourg,macedonia,madagascar,malawi,malaysia,maldives,mali,malta,marshall,mauritania,mauritius,mexico,micronesia,moldova,monaco,mongolia,montenegro,morocco,mozambique,myanmar,namibia,nauru,nepal,netherlands,new zealand,nicaragua,niger,nigeria,norway,oman,pakistan,palau,panama,papua,paraguay,peru,philippines,poland,portugal,qatar,romania,russia,rwanda,samoa,san marino,sao tome,saudi arabia,scotland,scottish,senegal,serbia,seychelles,sierra leone,singapore,slovakia,slovenia,solomon,somalia,south africa,south sudan,spain,sri lanka,st. kitts,st. lucia,st kitts,st lucia,saint kitts,santa lucia,sudan,suriname,swaziland,sweden,switzerland,syria,taiwan,tajikistan,tanzania,thailand,tobago,togo,tonga,trinidad,tunisia,turkey,turkmenistan,tuvalu,uganda,ukraine,united kingdom,united states,uruguay,usa,uzbekistan,vanuatu,vatican,venezuela,vietnam,wales,welsh,yemen,zambia,zimbabwe,alabama,alaska,arizona,arkansas,california,colorado,connecticut,delaware,district of columbia,florida,hawaii,idaho,illinois,indiana,iowa,kansas,kentucky,louisiana,maine,maryland,massachusetts,michigan,minnesota,mississippi,missouri,montana,nebraska,nevada,new hampshire,new jersey,new mexico,new york,north carolina,north dakota,ohio,oklahoma,oregon,pennsylvania,rhode island,south carolina,south dakota,tennessee,texas,utah,vermont,virginia,washington,west virginia,wisconsin,wyoming
2008-01-01,2008-01-01,2008,1,2008-01,7,30,34,0,11,17,46,53,59,41,24,63,29,62,78,56,61,53,73,30,4,55,54,38,32,25,18,72,57,56,61,62,39,55,23,17,10,47,58,28,65,25,28,55,65,19,29,31,5,74,40,20,55,37,25,31,44,6,66,16,53,30,65,26,17,17,64,11,64,73,11,43,38,43,35,18,61,28,19,6,67,64,55,34,65,36,17,37,41,61,78,41,53,43,50,69,55,52,27,26,67,32,19,43,39,19,61,40,65,66,2,3,17,44,14,48,34,21,11,10,63,29,25,9,64,19,40,39,75,26,16,17,53,14,61,40,25,44,36,5,43,39,80,53,17,52,22,53,22,77,69,26,79,58,45,49,25,53,32,30,39,13,70,37,9,18,19,46,38,16,31,40,20,32,37,16,18,51,37,53,23,24,78,20,31,18,37,50,24,68,60,10,15,64,52,65,25,21,58,26,18,4,49,16,52,55,54,84,33,35,29,72,34,53,57,6,46,47,61,46,21,11,29,47,20,21,32,32,40,11,42,46,14,67,30,18,6,48,31,46,60,27,39,21,64,73,63,73,56,72,26,66,42,68,64,77,62,47,58,75,52,35,59,58,41,69,52,43,67,77,64,67,80,48,65,67,55,60,75,57,67,46,48,88,55,65,69,83,53,44,60,64,57,80
2008-02-01,2008-02-01,2008,2,2008-02,7,35,35,0,14,23,46,53,59,46,31,66,24,77,39,55,72,54,69,31,5,59,59,41,36,23,28,68,55,55,56,63,45,60,24,23,10,45,52,28,74,27,35,50,59,19,27,34,5,65,43,21,54,30,29,28,46,7,69,17,50,27,59,27,18,18,61,16,61,58,21,49,34,43,41,20,62,27,23,6,75,61,52,36,70,36,48,35,40,67,73,41,61,48,50,65,53,50,27,23,64,32,17,39,40,19,56,45,67,72,2,4,19,45,13,49,32,21,10,11,62,30,26,11,63,19,42,37,52,29,17,100,51,14,57,45,26,58,39,5,95,41,78,66,19,55,20,41,20,77,64,28,74,60,91,49,24,54,32,28,38,14,61,28,9,18,18,55,38,17,30,40,23,37,38,17,19,50,36,55,23,25,79,22,36,21,36,41,25,66,56,8,25,60,55,64,24,19,51,29,18,4,51,15,44,51,60,69,27,39,30,70,37,51,58,7,44,53,67,41,21,12,30,37,20,21,35,30,44,12,43,48,14,66,31,16,6,46,32,47,73,22,39,23,64,70,63,75,57,71,25,68,41,64,64,77,69,57,45,76,54,36,62,61,41,62,55,45,69,72,66,56,30,47,68,65,53,65,82,58,65,45,49,61,57,67,72,80,59,45,61,59,62,72
2008-03-01,2008-03-01,2008,3,2008-03,7,34,42,0,15,19,42,43,56,40,32,71,25,65,42,51,73,51,67,33,5,56,54,41,39,17,23,64,55,50,55,60,37,64,22,25,10,45,55,27,72,29,40,48,58,19,27,36,5,62,50,22,51,28,37,27,47,9,64,16,50,29,63,26,16,16,61,10,61,49,15,43,42,46,45,41,63,27,15,7,63,60,51,34,66,31,22,44,38,64,74,38,51,43,52,61,48,57,30,21,66,35,14,40,40,18,61,39,64,61,2,3,21,45,13,49,33,21,10,12,61,31,25,7,61,19,39,37,42,26,17,36,54,13,59,42,25,50,37,5,59,39,76,66,18,48,27,40,20,77,67,19,66,55,87,51,26,56,33,29,36,13,62,36,9,19,17,55,38,17,27,37,19,42,39,18,19,54,36,52,24,25,80,20,34,18,39,37,25,62,53,8,16,54,48,67,22,20,52,30,18,4,52,13,41,46,62,63,37,36,30,71,34,51,53,6,53,48,60,41,20,11,30,33,21,23,32,27,41,12,41,46,14,65,31,16,8,48,35,48,61,30,33,35,62,69,62,75,53,69,25,66,37,63,58,72,59,51,42,75,56,34,61,57,40,59,50,48,69,66,61,50,29,46,60,64,55,63,78,56,65,49,51,61,57,63,72,81,50,42,59,56,55,78
2008-04-01,2008-04-01,2008,4,2008-04,7,44,42,0,16,19,46,42,58,50,37,78,24,80,38,54,62,56,67,31,5,69,60,45,45,12,28,64,60,52,55,64,36,63,22,31,10,47,34,30,72,30,35,48,64,20,24,47,5,56,37,21,47,28,30,22,51,8,69,16,50,30,62,29,16,19,64,10,61,50,17,43,44,49,43,21,72,26,17,7,64,63,52,34,75,30,23,40,38,73,71,35,55,47,54,62,48,53,28,17,65,34,13,37,42,18,52,44,66,57,2,4,20,46,13,50,32,22,11,11,61,31,26,7,60,20,40,43,42,31,17,23,56,14,60,45,25,58,34,5,42,41,77,71,18,55,22,37,19,79,91,20,62,59,77,50,28,65,39,27,38,13,61,41,11,19,17,56,41,17,30,39,20,36,38,17,25,57,34,51,25,23,75,21,38,18,39,42,26,62,53,8,14,53,53,65,22,20,49,45,18,5,54,13,40,40,41,59,30,38,31,70,40,48,54,7,46,46,60,37,19,10,30,34,22,24,32,31,49,12,41,47,14,66,35,18,8,48,39,44,58,31,38,58,64,72,61,76,55,70,26,69,40,62,58,74,63,55,44,83,62,35,60,59,41,62,54,45,69,68,66,49,29,48,61,62,55,71,78,60,65,59,48,61,58,63,73,83,48,44,61,52,55,70
2008-05-01,2008-05-01,2008,5,2008-05,7,33,38,0,11,18,41,37,55,47,28,77,22,38,25,48,68,52,63,24,5,62,51,38,44,10,20,61,51,49,50,60,19,62,21,35,10,48,35,29,67,30,46,47,70,25,24,36,5,54,45,21,44,25,26,23,54,8,60,17,47,30,68,26,100,16,65,11,59,42,14,40,46,59,44,14,65,25,19,8,59,64,54,35,77,27,20,39,36,74,65,36,53,51,54,66,51,56,31,17,62,35,13,33,47,18,55,41,64,54,2,4,22,45,14,50,33,23,11,10,59,34,26,7,61,19,39,41,38,32,18,19,54,14,61,48,31,46,34,5,43,42,78,68,17,56,23,37,20,77,80,21,60,57,100,50,37,65,38,27,35,96,55,38,10,19,17,57,40,16,30,38,19,34,40,18,23,57,34,52,27,23,79,23,37,17,44,50,26,59,50,8,18,65,54,66,21,20,48,35,18,5,53,12,37,37,35,55,28,36,32,70,39,51,55,6,46,48,59,39,18,11,32,36,23,25,28,25,43,13,42,44,14,65,27,18,6,50,38,44,55,26,37,31,62,71,56,72,53,69,25,67,35,57,56,74,57,100,41,74,82,33,61,56,38,61,49,42,66,67,62,47,28,48,60,59,53,58,76,56,67,42,50,56,64,59,69,84,47,44,56,62,53,69
2008-06-01,2008-06-01,2008,6,2008-06,7,19,27,0,7,17,31,39,56,25,21,61,21,32,22,47,63,47,64,24,8,45,42,35,33,8,15,59,52,51,51,55,21,51,20,24,9,47,33,28,62,33,35,47,74,19,23,35,6,58,45,21,44,27,28,22,51,7,61,17,46,28,74,25,21,16,58,11,61,43,13,38,44,45,41,14,58,25,16,13,54,65,66,34,92,28,18,40,33,74,73,36,55,44,45,65,46,57,29,17,61,42,12,30,49,18,47,40,63,53,2,4,20,45,13,51,34,22,11,9,60,31,29,7,59,19,37,36,38,55,17,17,54,15,51,47,25,53,34,5,45,36,80,63,17,53,24,39,19,80,65,18,63,56,20,51,25,56,39,23,30,17,57,37,10,26,17,51,35,16,30,38,21,33,41,16,25,61,37,59,38,25,100,26,29,17,41,40,26,60,50,8,15,50,43,68,22,23,48,24,16,5,64,13,39,35,42,59,30,38,29,63,37,59,58,6,45,38,56,37,21,11,37,37,24,31,30,28,41,11,41,38,16,65,31,19,5,50,31,46,53,21,36,37,62,71,55,69,53,69,24,66,42,56,53,74,58,72,55,73,49,33,67,56,37,62,49,44,65,64,60,47,31,48,59,59,52,61,77,54,64,42,49,56,72,56,68,79,49,42,56,48,61,70
2008-07-01,2008-07-01,2008,7,2008-07,7,16,37,0,6,18,30,36,52,17,14,55,23,31,29,51,64,44,61,28,9,32,34,31,28,6,16,67,56,60,53,55,19,48,21,21,9,46,35,27,68,30,33,47,58,19,23,35,5,53,43,21,40,31,32,25,47,7,59,15,54,30,78,24,14,13,62,9,61,56,10,38,40,43,46,15,50,24,22,10,51,68,51,34,60,27,16,38,32,74,70,33,41,43,45,65,44,68,28,15,64,32,13,29,43,18,44,44,58,48,2,4,19,45,14,46,35,22,13,8,59,30,23,6,60,18,37,38,38,31,17,15,54,14,54,40,28,42,30,5,44,39,81,58,21,50,27,39,18,78,63,20,65,53,20,53,27,73,43,24,34,14,60,25,9,18,17,50,31,18,30,37,20,30,41,16,22,61,41,47,26,25,74,18,21,17,42,46,24,60,51,7,16,49,38,70,22,22,49,23,17,4,50,14,37,40,44,54,23,38,26,64,34,47,52,6,46,41,58,40,19,10,37,36,25,25,29,20,39,12,38,37,14,69,31,16,5,45,29,47,54,23,37,34,68,71,55,72,55,73,25,71,34,59,56,79,59,57,44,74,50,33,71,59,39,65,52,42,67,68,61,48,34,51,61,59,52,63,78,58,67,44,54,57,61,61,72,81,54,44,56,50,59,73
2008-08-01,2008-08-01,2008,8,2008-08,7,15,28,0,5,20,36,44,53,17,14,49,20,30,27,49,60,47,70,31,5,28,30,28,26,6,14,65,54,51,53,55,23,51,22,19,9,46,40,35,73,37,39,52,54,23,22,38,5,54,56,21,40,33,26,22,54,6,58,17,47,31,69,24,14,13,61,11,58,51,10,46,44,67,45,18,54,25,15,8,64,64,53,34,56,29,23,37,32,73,77,35,58,47,46,68,47,51,36,16,100,32,13,44,42,19,43,43,64,50,2,3,24,51,13,53,36,25,11,7,58,27,22,9,73,18,38,41,38,37,18,16,54,21,52,46,26,43,31,5,41,58,71,57,21,45,26,42,18,72,68,50,67,59,20,54,28,64,41,23,33,14,57,42,10,19,18,52,31,20,31,39,23,26,39,18,27,59,40,53,24,24,73,38,22,19,41,45,24,61,53,7,18,52,39,70,19,21,44,23,18,4,50,15,37,32,42,53,43,34,24,61,39,49,50,6,45,54,52,42,19,13,41,36,25,23,31,42,36,13,37,38,15,79,35,19,4,39,30,45,51,23,39,29,70,81,56,75,51,71,24,73,30,60,54,80,58,52,44,75,51,37,68,58,38,68,53,42,66,71,67,46,33,50,59,61,50,58,81,57,68,43,52,57,58,62,69,82,51,42,55,52,54,66
2008-09-01,2008-09-01,2008,9,2008-09,7,24,29,0,12,18,50,55,56,27,22,80,30,34,51,62,57,53,75,27,4,42,54,36,30,12,22,65,57,51,51,63,41,55,25,20,9,50,47,33,69,31,41,47,56,20,21,36,5,50,41,21,45,28,27,21,64,7,58,15,46,27,58,23,14,13,56,9,57,50,7,46,44,47,45,13,58,25,31,9,67,62,48,33,56,29,16,41,37,80,72,37,42,43,47,60,53,52,72,18,69,32,13,34,40,17,44,45,64,52,3,4,23,43,13,51,34,22,11,9,55,28,23,6,62,18,35,41,40,23,17,15,54,13,52,40,24,61,30,5,54,40,81,62,21,48,25,36,18,70,68,20,64,63,17,48,27,55,34,23,32,15,56,32,9,18,16,56,34,17,27,40,21,31,37,17,27,58,39,48,23,24,71,26,24,18,43,42,25,60,50,8,15,52,40,72,22,17,46,34,16,3,48,13,26,32,44,53,32,39,24,63,69,48,58,6,44,47,53,39,19,11,29,36,20,21,29,27,38,12,40,47,17,66,33,18,5,43,30,42,54,28,38,27,71,95,54,73,48,66,24,68,38,55,50,77,58,49,43,72,49,38,62,54,39,64,50,43,66,63,67,45,30,42,57,61,47,56,81,57,63,43,49,56,55,65,73,76,48,40,58,50,52,67
2008-10-01,2008-10-01,2008,10,2008-10,7,32,33,0,18,19,63,64,53,33,29,93,41,39,96,67,55,51,69,22,4,45,62,41,32,22,23,66,57,59,53,65,41,61,24,21,10,49,43,32,68,32,32,48,55,19,18,36,5,49,75,20,40,29,24,27,55,6,61,16,44,26,50,23,15,15,66,9,58,40,13,38,45,42,45,24,72,23,32,5,54,53,47,31,69,27,19,40,36,75,66,35,47,48,46,57,44,49,63,19,62,31,13,35,33,16,46,40,60,47,2,3,22,42,29,49,32,23,10,9,55,26,20,6,57,18,34,52,41,25,17,16,56,15,51,39,25,58,32,5,41,39,81,58,26,50,22,37,19,64,72,21,57,60,26,49,22,54,30,24,34,14,56,31,9,18,16,54,36,16,27,39,19,31,38,17,25,58,35,48,21,25,71,22,30,17,38,40,25,56,49,8,14,45,44,64,20,16,48,43,16,4,43,13,34,31,42,50,38,41,27,67,41,45,46,8,43,45,54,36,19,10,31,34,19,25,30,28,40,12,39,44,17,63,27,18,5,48,30,41,52,24,37,26,65,71,54,72,50,63,24,65,37,51,51,68,57,51,41,68,47,34,56,52,38,61,47,38,65,58,65,45,28,41,55,59,46,56,79,57,59,43,44,53,53,60,67,74,48,39,56,50,50,60
2008-11-01,2008-11-01,2008,11,2008-11,7,37,33,0,20,20,55,66,52,40,32,80,30,31,79,59,53,48,70,39,5,50,59,41,31,24,26,59,52,56,45,66,31,81,23,19,9,46,48,28,59,29,31,48,54,18,20,41,6,52,40,18,42,26,39,38,45,6,58,16,43,29,46,25,15,17,62,9,57,41,14,38,41,42,41,15,100,24,29,4,57,46,47,31,65,29,15,37,36,64,76,37,41,42,50,56,45,48,67,20,56,31,13,33,31,17,48,36,61,60,2,3,22,42,17,51,36,25,10,9,53,27,18,6,56,17,34,37,46,25,16,16,57,13,57,36,23,46,31,5,40,36,75,52,66,47,22,38,21,58,66,25,57,56,25,50,22,51,28,24,32,15,53,31,10,17,16,57,37,16,26,44,21,30,35,19,21,55,37,47,20,26,69,22,35,15,35,46,28,55,50,8,14,47,46,63,21,15,48,70,16,4,37,14,44,34,47,49,34,42,27,61,39,45,45,7,42,35,53,43,16,10,28,32,17,78,29,24,41,11,37,45,16,67,27,18,5,48,32,39,56,27,36,24,61,69,51,61,52,59,21,57,38,49,50,62,52,46,38,64,43,30,51,47,36,57,49,34,62,64,63,45,23,36,49,57,42,54,70,54,57,39,40,45,57,54,63,72,44,35,52,44,44,61
2008-12-01,2008-12-01,2008,12,2008-12,7,28,33,0,10,21,37,46,47,31,21,68,26,32,85,53,48,41,60,37,4,40,44,35,28,11,18,57,52,55,45,54,19,68,22,19,9,45,50,25,47,25,29,44,54,16,20,33,6,46,34,17,38,24,24,25,40,5,48,15,38,27,43,21,13,18,56,9,57,38,15,35,37,38,32,14,68,22,23,4,53,42,44,29,63,25,14,33,33,58,63,30,45,34,50,49,45,49,90,19,52,28,16,31,33,15,45,30,69,45,2,3,16,38,16,44,35,25,10,8,45,34,18,5,54,17,36,32,36,38,15,14,50,12,51,37,24,43,30,5,37,35,69,55,82,43,20,33,20,53,63,19,53,50,29,51,22,52,27,21,29,16,46,23,8,15,15,42,33,15,25,39,22,28,32,15,19,50,33,42,18,23,68,20,31,13,33,47,24,46,44,7,14,47,44,60,19,15,48,49,13,4,34,13,33,41,43,52,30,58,23,57,31,46,44,6,38,44,49,39,15,10,24,30,17,36,28,23,35,11,34,38,15,56,25,14,5,36,31,33,50,26,29,29,59,61,49,59,45,59,21,56,32,50,52,70,54,44,40,66,41,29,55,45,33,52,46,35,55,65,57,47,23,37,55,56,38,50,67,53,60,35,37,42,46,53,59,73,46,34,50,45,45,60
2009-01-01,2009-01-01,2009,1,2009-01,8,22,28,0,9,21,43,57,52,36,21,70,25,60,78,59,60,49,70,32,4,40,48,32,31,8,15,64,59,53,55,59,28,66,23,19,10,47,48,29,59,25,31,53,59,17,29,35,5,63,38,19,48,26,27,33,42,5,60,15,45,29,56,23,14,15,58,9,58,57,13,37,36,40,37,16,63,30,24,7,65,58,49,32,64,32,13,36,38,69,65,32,47,38,47,66,45,54,36,24,56,29,14,32,37,19,52,38,65,47,2,3,18,41,18,48,33,27,10,8,56,68,20,5,62,16,35,35,44,25,16,14,54,12,58,42,27,44,33,5,36,37,74,58,53,51,20,41,20,66,62,22,69,56,24,57,22,51,27,25,33,16,60,29,8,16,16,46,36,15,27,42,20,28,36,19,19,47,39,46,23,28,71,20,29,16,37,51,26,62,51,9,15,57,39,58,22,16,49,38,16,4,44,18,44,48,62,82,38,39,24,68,33,52,49,6,38,39,53,41,19,10,27,35,20,22,31,23,38,12,38,43,15,62,26,16,6,43,30,42,56,25,31,26,60,67,60,67,49,63,21,59,37,60,56,70,54,46,40,67,45,31,55,49,34,56,44,36,57,68,58,47,23,38,55,55,42,53,75,58,58,37,41,48,52,56,64,80,46,37,57,44,48,64
2009-02-01,2009-02-01,2009,2,2009-02,8,27,33,0,13,19,41,49,52,41,25,79,24,75,93,61,68,51,65,28,4,42,56,38,36,7,23,66,63,53,54,66,38,66,27,31,10,45,43,30,75,25,30,51,53,19,25,38,6,61,32,18,44,30,25,27,42,5,70,17,44,29,52,24,13,17,59,10,53,58,12,36,33,39,43,17,69,26,38,6,61,55,47,32,72,35,16,36,36,71,66,35,48,38,51,53,44,53,33,20,54,31,13,34,36,17,53,42,65,48,2,3,21,42,16,47,33,28,11,8,56,32,22,7,60,17,37,36,41,26,17,14,54,25,53,41,26,50,31,5,38,37,73,53,44,51,24,37,20,64,63,25,68,59,20,56,22,50,28,26,33,16,57,29,8,17,17,49,36,16,29,40,21,27,36,17,21,48,39,46,23,28,71,19,32,15,37,43,27,59,50,8,15,51,47,61,22,15,49,33,16,4,45,19,36,45,40,66,45,39,27,60,36,48,49,7,41,46,54,38,20,10,23,38,23,20,29,24,41,11,36,43,15,59,28,15,6,43,31,49,65,23,33,28,56,63,55,66,51,59,22,60,37,58,51,67,52,44,41,66,46,31,55,49,34,54,43,37,59,65,57,44,23,37,52,53,41,52,73,55,57,37,39,49,48,52,63,76,48,36,53,43,47,70
2009-03-01,2009-03-01,2009,3,2009-03,8,37,37,0,12,22,43,51,52,40,28,77,29,64,94,60,64,52,66,31,4,47,57,42,42,10,22,67,62,53,52,67,31,71,28,35,10,47,39,36,73,29,34,48,56,19,25,38,6,60,38,19,45,30,26,100,50,6,73,15,45,28,55,27,14,18,60,11,55,44,15,35,42,41,46,18,73,28,29,6,60,60,50,34,71,32,15,40,37,87,68,37,53,42,52,57,43,52,51,20,56,33,14,35,39,17,51,44,74,49,2,4,22,46,14,48,34,28,10,8,61,30,22,8,62,18,36,35,43,24,20,15,55,15,53,43,27,53,33,6,51,39,75,55,38,59,23,35,21,72,64,21,62,63,19,58,23,55,35,27,35,16,60,35,9,19,18,55,39,16,26,42,23,29,40,21,23,56,41,49,26,28,74,20,35,19,39,44,28,57,48,8,17,55,49,61,29,17,49,38,17,5,46,17,43,42,52,61,27,42,35,64,49,48,49,7,40,37,57,39,20,11,77,39,24,22,30,24,42,12,39,42,16,60,33,17,6,48,33,44,55,26,36,28,61,68,53,68,51,62,35,62,38,58,54,69,55,44,40,70,51,32,56,51,36,56,44,38,61,74,58,44,22,39,55,54,44,81,75,57,59,37,43,49,58,55,63,77,42,38,52,47,48,68
2009-04-01,2009-04-01,2009,4,2009-04,8,35,37,0,14,22,41,48,52,45,29,68,26,74,76,57,72,50,64,32,4,47,53,41,44,11,21,65,62,49,50,63,43,63,27,38,10,46,35,32,65,37,37,53,49,21,23,48,6,52,37,20,43,27,27,35,65,6,71,15,45,31,55,25,14,16,59,9,61,45,17,39,48,41,55,15,61,28,25,7,59,59,50,32,68,28,16,48,37,79,61,33,51,39,52,60,43,55,32,16,56,32,12,34,40,16,47,45,69,49,2,4,24,44,13,49,38,30,10,8,62,28,27,6,62,18,36,39,41,23,22,13,57,15,51,44,27,54,31,6,40,40,74,58,38,59,28,36,20,72,61,23,61,69,19,100,27,57,32,26,33,15,55,28,9,18,16,56,36,16,26,39,25,28,39,20,28,66,39,47,27,31,79,20,36,17,56,40,30,59,49,8,14,51,45,72,23,17,48,100,20,5,47,19,31,37,44,60,32,40,28,61,33,48,50,7,42,47,54,40,22,11,30,43,26,26,37,38,42,12,39,41,19,61,37,17,6,48,35,41,49,27,33,24,62,65,52,68,52,65,29,64,40,56,54,72,53,44,43,70,62,31,56,52,36,57,43,37,60,93,58,44,23,40,55,55,44,56,75,55,59,36,40,49,51,54,66,77,43,38,52,44,48,65
2009-05-01,2009-05-01,2009,5,2009-05,8,30,34,0,11,20,40,47,50,44,28,65,23,31,58,50,63,50,65,30,4,42,49,40,44,8,18,61,53,48,47,60,28,62,28,36,9,44,32,31,66,37,42,55,50,42,23,37,6,48,38,20,38,26,29,31,51,7,69,15,44,29,60,24,16,18,60,9,59,39,13,37,47,41,57,16,63,27,23,7,55,62,48,34,65,26,17,47,38,83,59,33,52,54,50,58,46,58,34,14,52,32,13,32,46,15,43,51,70,46,2,5,26,45,15,47,39,31,10,7,60,30,24,7,60,18,40,42,39,23,23,13,58,13,66,41,29,52,32,6,41,41,75,59,29,60,27,40,20,75,64,24,61,66,21,75,34,62,36,23,31,18,58,33,10,18,16,54,40,16,41,36,25,29,44,19,26,64,41,46,29,27,82,20,35,18,41,41,29,59,45,8,16,50,46,71,21,17,44,47,20,5,48,24,28,34,38,59,26,41,27,63,34,49,51,6,41,40,56,38,18,10,29,36,27,25,29,34,41,12,41,38,18,58,29,16,8,54,38,41,49,25,32,22,57,60,47,65,55,59,23,62,31,52,52,68,50,43,38,64,75,31,58,48,34,54,40,36,55,97,54,40,24,40,51,50,40,43,72,51,59,35,42,44,47,50,62,73,40,36,49,41,46,62
2009-06-01,2009-06-01,2009,6,2009-06,8,17,28,0,6,19,35,41,49,24,20,51,21,30,47,53,63,46,64,37,4,33,37,39,33,6,13,68,60,51,46,57,20,53,24,29,11,44,41,30,63,40,35,55,51,28,22,40,6,49,42,21,37,29,24,43,52,6,57,20,44,29,68,24,14,16,56,10,61,46,7,36,49,38,54,100,57,29,23,9,51,62,48,32,66,29,13,51,42,100,66,35,46,42,46,57,42,71,61,15,48,31,14,28,44,15,48,45,64,45,2,4,43,42,13,46,43,31,29,7,61,29,25,6,57,17,38,58,39,24,26,13,55,14,52,42,31,62,29,5,41,36,78,57,26,50,27,35,21,79,59,23,61,66,17,60,24,52,38,23,33,18,54,28,9,17,15,58,38,18,29,36,26,40,40,19,29,66,44,46,29,28,81,18,26,18,41,41,29,58,45,8,16,49,38,76,19,18,42,35,21,4,51,18,31,31,52,59,26,42,23,64,35,50,49,6,41,37,54,41,21,12,30,41,27,23,28,23,40,11,35,33,20,61,33,16,5,54,32,42,51,34,36,21,58,65,45,66,49,62,23,62,33,52,51,71,49,46,39,65,43,29,62,49,36,54,41,35,55,93,55,41,25,46,53,51,39,43,73,51,61,35,42,49,51,52,62,75,40,36,51,41,48,69
2009-07-01,2009-07-01,2009,7,2009-07,8,13,24,0,6,19,27,41,48,17,17,48,21,30,45,55,80,44,61,37,4,26,32,34,26,4,11,74,64,57,50,60,23,50,30,23,9,46,39,29,57,38,36,58,52,21,23,39,7,50,35,20,35,28,26,34,46,5,60,15,51,33,73,23,14,15,54,10,63,39,9,36,47,40,60,60,55,31,20,9,50,64,46,32,54,27,14,46,35,88,58,32,45,40,43,63,41,82,39,15,49,30,16,24,43,17,44,49,69,47,2,4,54,48,13,48,44,31,12,6,63,27,23,4,57,18,40,37,41,23,20,12,58,16,50,35,29,46,35,6,35,38,77,51,25,41,30,40,19,80,58,23,63,65,17,68,27,51,43,23,31,17,59,21,10,16,16,65,32,17,29,37,25,30,44,17,26,68,48,43,29,28,79,17,23,17,44,42,28,61,46,7,15,57,36,74,20,21,45,31,19,4,46,18,27,32,40,62,32,42,22,63,32,47,54,7,43,50,54,43,17,9,26,35,28,24,32,24,39,11,37,33,20,61,28,17,5,50,32,44,53,29,34,19,59,70,47,67,50,66,29,70,30,54,53,74,52,49,41,66,44,30,69,51,37,59,43,37,56,100,56,42,27,42,53,53,43,46,79,52,64,38,48,51,52,55,65,77,42,37,50,45,52,69
2009-08-01,2009-08-01,2009,8,2009-08,8,13,23,0,5,20,27,40,49,16,15,51,22,30,43,54,59,46,69,38,5,22,30,32,27,5,13,79,67,61,50,60,24,49,31,21,8,47,38,29,65,39,34,59,54,21,26,38,7,52,35,21,35,26,26,27,52,5,61,14,41,34,62,20,16,15,58,9,63,63,9,40,51,40,63,11,59,30,22,8,50,63,46,32,55,27,20,46,35,84,61,33,50,50,47,66,44,52,50,15,49,30,13,26,40,17,51,48,71,47,1,4,31,43,13,62,43,33,9,7,63,28,22,5,60,17,38,36,41,23,20,13,61,12,52,36,28,51,30,6,43,35,70,59,23,42,30,43,19,74,65,21,66,69,20,58,26,50,36,24,32,19,56,24,10,18,16,56,29,17,29,39,26,29,42,19,29,69,47,44,28,29,76,17,22,19,42,37,30,65,48,7,14,55,34,74,21,19,47,29,20,4,41,18,33,33,49,60,27,40,23,65,37,48,50,6,52,39,56,44,20,9,45,38,29,24,27,24,38,11,34,33,21,65,27,20,5,48,31,42,47,21,33,21,61,62,48,66,52,66,25,65,30,53,55,77,53,47,42,67,45,31,67,50,37,61,45,36,56,96,58,42,26,40,53,53,41,45,80,54,64,37,45,48,49,57,66,79,43,37,50,45,51,66
